path,decision,rationale
"apps/web/src/app/[locale]/academy/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/agents/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/ask/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/auth/callback/page.tsx","KEEP","Reusable platform shell/auth/legal route."
"apps/web/src/app/[locale]/community/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/ask/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/decisions/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/fields/FieldsManager.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/fields/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/layout.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/market/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/mobile/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/more/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/settings/SettingsForm.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dashboard/settings/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/dokumenti/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/layout.tsx","KEEP","Reusable platform shell/auth/legal route."
"apps/web/src/app/[locale]/login/page.tsx","KEEP","Reusable platform shell/auth/legal route."
"apps/web/src/app/[locale]/market/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/methodology/page.tsx","REFACTOR","Marketing/platform route; make domain-neutral or compose from vertical."
"apps/web/src/app/[locale]/onboarding/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/page.tsx","REFACTOR","Marketing/platform route; make domain-neutral or compose from vertical."
"apps/web/src/app/[locale]/platform/page.tsx","REFACTOR","Marketing/platform route; make domain-neutral or compose from vertical."
"apps/web/src/app/[locale]/privacy/page.tsx","KEEP","Reusable platform shell/auth/legal route."
"apps/web/src/app/[locale]/sponsors/page.tsx","REFACTOR","Marketing/platform route; make domain-neutral or compose from vertical."
"apps/web/src/app/[locale]/statistiki/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/tutor/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/api/academy-tutor-proxy/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/ask-agrinexus/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/briefing/preview/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/briefing/send-test/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/chat/route.ts","REFACTOR","General API capability; extract domain-neutral service contract."
"apps/web/src/app/api/community/ai-insight/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/community/posts/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/cron/briefing/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/documents/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/elevenlabs-tts/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/feedback/route.ts","REFACTOR","General API capability; extract domain-neutral service contract."
"apps/web/src/app/api/market/wheat-ref/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/mobile/courses/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/statistiki/data/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/statistiki/insights/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/telegram/webhook/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/api/tutor/chat/route.ts","VERTICAL","Agriculture/Academy/Furrow API route; move behind agriculture vertical."
"apps/web/src/app/globals.css","REFACTOR","Marketing/platform route; make domain-neutral or compose from vertical."
"apps/web/src/components/AnimatedDebateTimeline.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/Auth/SocialLogin.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/CTA.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/ConfidenceHint.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/CropStatisticsView.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/Dashboard/MobileBottomNav.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/Dashboard/MobileDashboardHeader.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/Dashboard/Sidebar.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/DebateMermaid.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/DebateVisualization.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/DokumentiPage.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/Footer.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/Hero.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/MarketingChrome.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/Nav.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/ProtectedRoute.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/SectionHeader.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/academy-lab-simulation.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/academy-lecturer.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/academy-maps-lab-dynamic.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/academy-maps-lab.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/api-status.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/break-even/BreakEvenProfitCard.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/break-even/BreakEvenSettings.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/break-even/LocalPriceBuyers.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/briefing/BriefingConnect.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/chat/AgriNexusChat.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/chat/ChatFeedback.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/community/CommunityHub.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/course-final-test.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/decision-diary/DecisionDiaryManager.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/decision-diary/DecisionDiaryTeaser.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/home/TerminalDemo.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/home/parts.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/language-switcher.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/motion/academy-hub-motion.tsx","VERTICAL","Agriculture/Academy UI; move to agriculture vertical."
"apps/web/src/components/motion/fade-in.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/simple-ask-panel.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/site-nav.tsx","REFACTOR","Shared presentation component; remove agriculture branding assumptions."
"apps/web/src/components/ui/button.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/components/ui/card.tsx","KEEP","Reusable platform UI/auth primitive."
"apps/web/src/content/academy-courses.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/academy-en.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/crop-markets.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/drone-pilots.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/farm-finance.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/index.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/precision-data.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/soil-fertility.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/types.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/content/final-course-tests/water-irrigation.ts","VERTICAL","Agriculture Academy/domain content; move with vertical."
"apps/web/src/hooks/useAuth.ts","KEEP","Reusable authentication hook."
"apps/web/src/hooks/useTutor.ts","VERTICAL","Agriculture tutor hook."
"apps/web/src/i18n/navigation.ts","KEEP","Reusable locale routing infrastructure."
"apps/web/src/i18n/request.ts","KEEP","Reusable locale routing infrastructure."
"apps/web/src/i18n/routing.ts","KEEP","Reusable locale routing infrastructure."
"apps/web/src/lib/academy-lab-simulation.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/agrinexus-chat.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/agrinexus-policy.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/ai-community-insight.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/break-even.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/briefing-preferences.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/briefing-send.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/community.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/crop-statistics-data.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/decision-diary.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/local-price.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/market-live-desk.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/mistral.ts","REFACTOR","Generic AI provider adapter; place behind platform interface."
"apps/web/src/lib/mobile-academy-catalog.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/news-fetcher.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/supabase-admin.ts","KEEP","Reusable platform integration/helper."
"apps/web/src/lib/supabase-config.ts","KEEP","Reusable platform integration/helper."
"apps/web/src/lib/supabase-server.ts","KEEP","Reusable platform integration/helper."
"apps/web/src/lib/supabase.ts","KEEP","Reusable platform integration/helper."
"apps/web/src/lib/telegram-bot.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/lib/utils.ts","KEEP","Reusable platform integration/helper."
"apps/web/src/lib/weekly-briefing.ts","VERTICAL","Agriculture domain service/data logic; move with vertical."
"apps/web/src/middleware.ts","REMOVE","Duplicate middleware location; retain one canonical middleware entry."
"apps/web/tailwind.config.ts","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/tsconfig.json","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/vercel.json","KEEP","Canonical Next.js application configuration/documentation."
"archive.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"article/France_Agriculture_Analysis_EN.md","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"article/France_Agriculture_Analysis_RU.md","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"article/Global_Corn_Producers_Analysis_EN.md","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"article/Global_Corn_Producers_Analysis_RU.md","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"article/sample.html","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"articles/assets/tomato-2026/.gitkeep","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"articles/assets/tomato-2026/global_production_trend.png","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"articles/assets/tomato-2026/iran_replacement_table.png","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"articles/assets/tomato-2026/production_2026_bar.png","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"articles/incoming/extracted.txt","VERTICAL","Agriculture editorial content/assets; move under verticals/agriculture."
"bg/academy.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/agents.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/analytics.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/dashboard.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/index.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/market-intelligence.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/methodology.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"bg/platform.html","REMOVE","Generated legacy static locale duplicate of the Next.js application."
"build_course.py","REMOVE","One-off legacy transformation script; archive outside product core."
"course.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"dashboard.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"data/academy-catalog.json","VERTICAL","Agriculture/Furrow domain data; move with agriculture vertical."
"data/furrow-agent-knowledge.json","VERTICAL","Agriculture/Furrow domain data; move with agriculture vertical."
"docker-compose.yml","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
"docs/ACADEMY_ARCHITECTURE.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/ACADEMY_PRODUCT_VISION.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/ACADEMY_RAG_ARCHITECTURE.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/AGRO-MODERNISM-DESIGN-SYSTEM.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/AI-OPERATIONS.md","REFACTOR","Retain intent but rewrite for extracted platform layout."
"docs/CANONICAL-WORKSPACE-BG.md","REMOVE","Local-machine workspace instructions are not platform architecture."
"docs/DESIGN-SYSTEM.md","REFACTOR","Consolidate into platform-level design documentation."
"docs/FIELDLOT-JUNCTION-BG.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/LOCAL-DEV.md","REFACTOR","Retain intent but rewrite for extracted platform layout."
"docs/NAV-ACADEMY.md","VERTICAL","Agriculture/Academy documentation; move with vertical."
"docs/TARGET-ARCHITECTURE.md","REFACTOR","Retain intent but rewrite for extracted platform layout."
"docs/WORKSPACE-CYRILLIC-PATH-BG.md","REMOVE","Local-machine workspace instructions are not platform architecture."
"egypt-agriculture-analysis-en.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"egypt-agriculture-analysis-ru.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"egypt-fields-desert-oasis-2026-ru.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"egypt-fields-desert-oasis-2026.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"fieldlot","VERTICAL","Agriculture-specific external submodule; relocate behind vertical boundary."
"fix_animation.py","REMOVE","One-off legacy transformation script; archive outside product core."
"fix_mobile.py","REMOVE","One-off legacy transformation script; archive outside product core."
"fix_mobile_layout.py","REMOVE","One-off legacy transformation script; archive outside product core."
"fix_ui.py","REMOVE","One-off legacy transformation script; archive outside product core."
"fix_ux_issues.py","REMOVE","One-off legacy transformation script; archive outside product core."
"france-agriculture-analysis-en.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"france-agriculture-analysis-ru.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"global-corn-producers-analysis-en.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"global-corn-producers-analysis-ru.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"index.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"infra/docker/init-db.sql","KEEP","Reusable local platform infrastructure."
"infra/docker/pgvector/academy_schema.sql","VERTICAL","Academy RAG schema is agriculture vertical infrastructure."
"inject_community.py","REMOVE","One-off legacy transformation script; archive outside product core."
"inject_context_ai.py","REMOVE","One-off legacy transformation script; archive outside product core."
"inject_fields_html.py","REMOVE","One-off legacy transformation script; archive outside product core."
"inject_live_chart.py","REMOVE","One-off legacy transformation script; archive outside product core."
"inject_live_market.py","REMOVE","One-off legacy transformation script; archive outside product core."
"inject_podcast.py","REMOVE","One-off legacy transformation script; archive outside product core."
"login.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"market-intelligence.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"methodology.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"migrations/001_core_tables.sql","KEEP","Validated Phase 1B security baseline; freeze."
"migrations/002_enums.sql","KEEP","Validated Phase 1B security baseline; freeze."
"migrations/003_audit.sql","KEEP","Validated Phase 1B security baseline; freeze."
"migrations/004_verification.sql","KEEP","Validated Phase 1B security baseline; freeze."
"migrations/005_rls.sql","KEEP","Validated Phase 1B security baseline; freeze."
"package-lock.json","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
"package.json","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
"platform.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"protect_dashboard.py","REMOVE","One-off legacy transformation script; archive outside product core."
"register.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"scripts/academy-hub.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/apply-home-i18n.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/archive-data.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/archive.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/auth.js","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/build-corn-article.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/build-egypt-article-ru.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/build-egypt-article.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/build-france-article.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/build-md-articles.mjs","REMOVE","One-off legacy content/build migration script; archive outside product core."
"scripts/check-fieldlot-rag.mjs","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/community.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
"scripts/dev-server.mjs","REMOVE","Legacy static-site runtime script superseded by the Next.js app."
"scripts/fields.js","VERTICAL","Agriculture/Furrow operational script; move with agriculture vertical."
